,User_name,Mention_name,Type
0,cucubtemar,ROYZWINDOWTINT,RT
1,VonHousenGroup,VonHousenGroup,Tweet
2,AMTvehiclegroup,AMTvehiclegroup,Tweet
3,SarahSheltonInk,cgtnamerica,Tweet
4,AudioravenEOS,DaveDuricy,Tweet
5,oliveri_pablo,911_Mag,RT
6,XavierQuelal,DriversEcuador,RT
7,UAEChauffeur,UAEChauffeur,Tweet
8,aguilar_schulz,LegendPorsche,RT
9,zapautoexport,zapautoexport,Tweet
10,kezzabella82,JosephLiden,RT
11,Scott_James_ltd,Scott_James_ltd,Tweet
12,andrea_vitters,BillionsPortal,RT
13,britishrent,britishrent,Tweet
14,TheLuxuryOFC,TheLuxuryOFC,Tweet
15,exhaustnotes,MercedesAMG,Tweet
16,TheLuxuryOFC,TheLuxuryOFC,Tweet
17,marcofedeli1977,marcofedeli1977,Tweet
18,autocarmove,autocarmove,Tweet
19,LUXURYSPORTAUT0,LUXURYSPORTAUT0,Tweet
20,autopartlinker,autopartlinker,Tweet
21,UKCarLease,contractcars,RT
22,arlelotli,ExplorationsUn1,RT
23,Surreal_CARS,Surreal_CARS,Tweet
24,Scott_James_ltd,Scott_James_ltd,Tweet
25,UKCarLease,contractcars,RT
26,IdeasOutpost,Jaguar,Tweet
27,Surreal_CARS,Surreal_CARS,Tweet
28,AmeerLuqman15,carsluxrs,RT
29,club29,ExplorationsUn1,RT
30,ShipOverseas,ShipOverseas,Tweet
31,Autos_of_dallas,EarthCam,Tweet
32,JROSENBERG1,JROSENBERG1,Tweet
33,kannanuidesign,Kluster_Cars,RT
34,weddingcarhire3,weddingcarhire3,Tweet
35,LexusJAX,LexusJAX,Tweet
36,LegendPorsche,LegendPorsche,Tweet
37,ROYZWINDOWTINT,ROYZWINDOWTINT,Tweet
38,fynis_im,fynis_im,Tweet
39,LiveryVip,LiveryVip,Tweet
40,britishrent,britishrent,Tweet
41,GazTankMotors,GazTankMotors,Tweet
42,dare_paul01,_alonethoughts_,Tweet
43,shandi_reza,shandi_reza,Tweet
44,EuroCarParts,EuroCarParts,Tweet
45,neun11er,LegendPorsche,RT
46,Surreal_CARS,Surreal_CARS,Tweet
47,club29,ExplorationsUn1,RT
48,Rentcardubaiae,Rentcardubaiae,Tweet
49,Moeracing1,Moeracing1,Tweet
50,mymagicglass,mymagicglass,Tweet
51,rttconcierge,rttconcierge,Tweet
52,stargatechauff,stargatechauff,Tweet
53,_alonethoughts_,_alonethoughts_,Tweet
54,RanchiGPS,RanchiGPS,Tweet
55,Reg_Spotter,Reg_Spotter,Tweet
56,Individual_FS,Individual_FS,Tweet
57,RTHyderabad,pennewstweet,RT
58,Stonelink_Intl,WSJ,Tweet
59,RacerMecahinc,RacerMecahinc,Tweet
60,GetReviewedByUs,GetReviewedByUs,Tweet
61,GetReviewedByUs,GetReviewedByUs,Tweet
62,Fabspeed,Fabspeed,Tweet
63,JosephLiden,JosephLiden,Tweet
64,MBenzDraper,MBenzDraper,Tweet
65,FixingAuto,FixingAuto,Tweet
66,autopartlinker,autopartlinker,Tweet
67,CodeSilverStore,CodeSilverStore,Tweet
68,bryans_cars,LuxMotorPress,RT
